en_name,zh_name,ja_name
Overspeed: High Performance Street Racing,超速：高性能街头赛车,
Demolition Master 3D: Holidays,爆破专家：节日礼炮,
,天下統一SSB,
Happy Chef 2,快乐厨师2,
A Game of Thrones: Genesis,权力的游戏：创世纪,
PC Building Simulator 2,装机模拟器2,
Ib,恐怖美术馆,
Wing of Darkness,铁翼少女,
Men of War: Assault Squad,战争之人：突击小队,
FIM Speedway Grand Prix 4,国际机车联盟大奖赛4,
Evoland,进化之地,
Spyro Reignited Trilogy,小龙斯派罗：重燃三部曲,
Tokyo Ghoul: re CALL to EXIST,东京喰种：re CALL to EXIST,
Brigade E5: New Jagged Union,E5旅：新铁血联盟,
jjzw,街机之王,
OPUS:Rocket of Whispers,OPUS：灵魂之桥,
Gizmos: Riddle of the Universe,小发明：宇宙之谜,
SpellForce 2 Dragon Storm,咒语力量2：巨龙风暴,
Divinity II - The Dragon Knight Saga,神界2：龙骑士传奇,
Three Fourths Home,四分之三归程,
Carmageddon: Max Damage,死亡赛车：终极破坏,
Battleteams 2,生死狙击2,
,噗哟噗哟编年史,ぷよぷよクロニクル
The Jackbox Party Pack,杰克盒子的派对游戏包,
Slaycation Paradise,末日度假村,
Demon Pit,恶魔坑,
Fantasy Wars,虚空魔城,
Code of Honor 2：Conspiracy Island,荣誉代码2：阴谋之岛,
Larcenauts,星际守望者,
Scourge Of War: Waterloo,战争灾难：滑铁卢,
Paw Patrol: On A Roll,汪汪队立大功 出发救援,
Black Maou and Rainbow Kingdom,黑色魔王和彩虹王国,
Demon Strikes Back,恶魔反击战,
R.B.I. Baseball 17,R.B.I.棒球17,
ARMA 2:Operation Arrowhead,武装突袭2:箭头行动,
Cliff Diving,悬崖跳水,
Eternal Return,永恒轮回,
Lengend of Ice,碧雪情天外传：冰雪传奇,
Superbike 2000,超级摩托车2000,
Magical Battle Cry,言出法随,
Wildstar,狂野星球,
Day D Time Mayhem,时间混乱的一天,
Deltaplan Simulator,三角滑翔翼模拟器,
Prince of Persia: the Sands of Time,波斯王子：时之砂,
Touhou Sōjin Engi: The Genius of Sappheiros,东方苍神缘起 ：残暑,
Oddworld: Munch's Oddysee,奇异世界：蒙克历险记,
,高达无双 特别版,ガンダム無双 Special
,拉比拉比外传 魔女的猫,ラビラビ外伝 Witch's Cat
Deadly Dozen,重返狼穴,
make love mu,情怀奇迹,
The Haunted Island a Frog Detective Game,青蛙侦探 闹鬼岛,
Square dungeon,方块地牢,
Heroine Ahthem 2：The Angel of Sarem,圣女之歌2：撒雷母天使,
Atelier Sophie 2,苏菲的炼金工房2,
Rock Band 4,摇滚乐队4,
Mini Motor Racing X,迷你赛车X,
Enlightenment,启蒙,
Yuan Zheng,远征2,
The Golf Club 2,高尔夫俱乐部2,
Aveyond: The Lost Orb,阿月历险记：丢失的天体,
Mushihimesama,虫姬,
Green City,绿色都市,
Yaiba: Ninja Gaiden Z,剑勇传奇：忍者龙剑传Z,
Yono and the Celestial Elephants,神象尤诺历险记,
HITMAN 3,杀手3,
Dragon Ball Heroes: Ultimate Mission 2,龙珠英雄：终极任务2,
Renovation Plan,家装计划,
Sword of the Guardian,守护者之剑,
Half Minute Hero：The Second Coming,勇者30：再次降临,
Royal Envoy 2,皇家特使2,
Ark Park,方舟：公园,
,偶像大师SP,アイドルマスターSP
Final Fantasy VII: Ever Crisis,最终幻想7：永恒危机,
,世界传说 光明神话3,テイルズ オブ ザ ワールド レディアント マイソロジー 3
Warhammer 40000: Space Marine,战锤40K：星际战士,
Dark Seed,黑暗之蛊,
Bounty of One,赏金猎人,
,高达无双,ガンダム無双
Hearts of Iron IV,钢铁雄心4,
Mount & Blade: Warband,骑马与砍杀：战团,
,圣斗士星矢Ω 究极小宇宙,聖闘士星矢Ω アルティメットコスモ
Tower of Mice,小鼠之塔,
,异能都市,
A Knights Quest,骑士之旅,
Super Dungeon Maker,超级地牢制造者,
TV Farm 2,电视农场2,
System Shock 3,网络奇兵3,
A Game Called Paako,一个叫Paako的游戏,
Lunatic Dawn: the Third Book,侠客游：第三之书,
Savage Lands,野人土地,
Home Sweet Home,甜蜜之家,
Kingdom Wars,王国战争,
,初音未来：未来计划 豪华版,初音ミク Project mirai でらっくす
Universe At War Earth Assault,宇宙战争：地球突袭战,
From Pulse,穿越神球,
Interregnum Chronicles: Signal,断代编年史：信号,
Disney Magic Castle2 My Happy Life,迪士尼魔法城堡2 我的快乐生活,
Autumn Park Mini Golf,秋季公园迷你高尔夫,
Inner Chains,恐怖迷城,
Antichamber,环绕走廊,
Depth Hunter 2: Deep Dive,海底猎人2：深海探险,
A Sky Full of Stars,满天繁星,
Heartomics 2,心组学2,
Subnautica: Below Zero,深海迷航：冰点之下,
Depth 6,深度6,
Trivia Golf,高尔夫挑战赛,
Ratchet & Clank: Rift Apart,瑞奇与叮当：时空跳转,
Onechanbara Z2: Chaos,御姐武戏Z2：混沌,
Horror in the Asylum,恐怖疯人院,
Battle Academy 2: Eastern Front,战争学院2：东部战线,
One Hour One Life,一小时人生,
Lineage 2: Revolution,天堂2 革命,
Haunted: Poppy's Nightmare,闹鬼：波比的噩梦,
Remnants of Naezith,纳西斯的遗迹,
ROCKETSROCKETSROCKETS,火箭 火箭 火箭,
Jacob Jones and the Bigfoot Mystery : Episode 2,雅各布和大脚怪 第二章,
Baldur's Gate II: Enhanced Edition,博德之门2：加强版,
Caribbean!,加勒比,
Reborn Tribe,部落复兴,
House of 1000 Doors 3: Serpent Flame,千户之屋3：巨蛇烈焰,
Picnic Peril,别碰我的野餐,
The Fall of the Dungeon Guardians,地牢守护者的陨落,
Graceful Explosion Machine,优雅爆机,
MazM: The Phantom of the Opera,MazM：歌剧魅影,
Ready Player One: OASIS,头号玩家：绿洲,
Fish vs Crabs,鱼斗蟹,
SuperMash,超级混搭,
Closed Nightmare,闭锁梦魇,
Fighter of Evil,恶魔猎手,
Sniper Hunter Shooter,狙击手猎人射击,
Pre-Dynastic Egypt,史前埃及,
Realms of Arkania 3 - Shadows over Riva Classic,阿卡尼亚王国3：里瓦之影,
The Guest,访客,
Skyscraper Simulator,摩天大楼模拟器,
Family Farm,家庭农场,
Coffee Tycoon,咖啡大亨,
MotorHEAT,热力引擎,
Below the Surface:Uncovering the Truth in the Sewers,诡案:下水道,
Inazuma Eleven 3: Team Ogre Attacks!,闪电十一人3:面向世界的挑战 The 王牙,
Space Rotary,旋转空间,
Lead and Gold: Gangs of the Wild West,铅与黄金：西部狂野之争,
Night Call,夜车追凶,
Resident Evil Outbreak,生化危机 爆发,
Bramble: The Mountain King,荆棘山之王,
Power to the People,还电于民,
Rock of Ages 2: Bigger & Boulder,世纪之石2：更大更敦实,
Grand Theft Auto The Trilogy,GTA：三部曲 最终版,
Another Century's Episode 3 THE FINAL,异世纪传说3 THE FINAL,
Naraka: Bladepoint,永劫无间,
JoJo's All Star Battle,JOJO的奇妙冒险 群星之战 重制版,ジョジョの奇妙な冒険 オールスターバトル R
Might and Magic IV: Clouds of Xeen,魔法门4：星云之谜,
Auditorium,流光魅音,
Hamatora: Look At Smoking World,滨虎：浓烟世界,
Zuma,青蛙祖玛,
Just Dance 2021,舞力全开2021,
Assemble with Care,用心组装,
,超次元游戏 海王星,超次元ゲイム ネプテューヌ
,全民挖掘！地底探险,みんなでワイワイ！スペランカー
X-Men: The Official Game,X战警3：官方游戏,
Chaos on Deponia,混乱的德波尼亚,
Spectra,光谱迷阵,
DC Super Hero Girls: Teen Power,DC超级英雄少女 Teen Power,
Bravely Default II,勇气默示录2,
Angry Giant,愤怒的巨人,
Mirages of Winter,冬蜃樓,
Rock of Ages II: Bigger and Boulder,世纪之石2,
Hero of the Kingdom,王国英雄,
Pocket Mortys,口袋莫蒂,
League of Legends: Wild Rift,英雄联盟手游,
Discovering Colors: Animals,色彩新发现动物篇,
NUTS,坚果,
Indivisible,形影不离,
Fearless Fantasy,无畏幻想,
Music Master：Chopin Rock,音乐大师：肖邦摇滚,
Total War Saga: Troy,全面战争传奇：特洛伊,
Castlevania：Lords of Shadow 2,恶魔城：暗影之王2,
Unknown Woods,未知森林,
The Gallery 2: Heart of the Emberstone,画廊2：余烬之心,
,轩辕剑肆 黑龙舞兮云飞扬,
Spartan,斯巴达人,
Medieval Defenders,中世纪塔防,
Monsters vs.Aliens,异形战魔怪,
Session: Skateboarding Sim Game,滑板 Session,
Codename: Panzers Phase Two,代号：装甲2,
R.B.I. Baseball 15,R.B.I.棒球15,
Time Fissure,时空之隙,
Angels That Kill,谋杀天使,
,剑为君舞V,剣が君 for V
,随身随地的炸弹人,いつでもボンバーマン
Transport Defender,运输船防卫战,
Plant Firefighter Simulator 2014,消防模拟2014,
,灵活脑学校 一起伸展大脑,やわらかあたま塾 いっしょにあたまのストレッチ
Berserk Boy,狂暴小子,
Star Wars Pinball,星球大战弹珠台,
Surfingers,手指冲浪,
Inspector Gadget 2 Gadget And The Gadgetinis,神探加吉特2,
Harry Potter: Wizards Unite,哈利波特：巫师联盟,
Roblox,罗布乐思,
Tactical Mind,战术思维,
Night Shift,夜班,
Cloudpunk,云端朋克,
Graduated,小生活,
Total War Battles: Kingdom,全面战争：王国,
Corpatros: The Hidden Village,柯帕特罗兹：隐世之寨,
Transport Fever 2,狂热运输2,
Tempest: Pirate Action RPG,风暴之海,
Song of Farca,罪城骇客,
Theatre of War 2 Centauro,战场2：人马座,
,百万吨的啪啦啪啦,100万トンのバラバラ
The Martian VR Experience,火星救援VR,
Jigsaw Galore,拼图高手,
Stellar War,万舰齐发,
Dead Island Definitive Collection,死亡岛 终极合集,
Bo,杖,
Crasher,粉碎机车,
Magnus Imago,马格努斯：意象,
Cats in Time,时间猫,
Pro Evolution Soccer 2008,实况足球 2008,
Red shark,红鲨,
Starry Sky: Summer,改造节奏大战 龙剑战记2,
WWE 2K17,美国职业摔角2K17,
Stellar Settlers,异星开拓者,
Paranormal Activity: The Lost Soul,鬼影实录：迷失之魂,
Vampire: The Masquerade - Shadows of New York,吸血鬼：避世-纽约之影,
Ultimate Mahjongg,究级麻将,
STAR SAGA ONE - RISE OF THE DOMINATORS,星际传奇统治者觉醒,
Rockman X8,洛克人X8,
INMOST,极渊,
The Walking Dead Onslaught,行尸走肉：猛攻,
Richie's Plank Experience,里奇的木板体验,
,屁屁燃气公司,
Dead to Rights: Retribution,脱狱潜龙 惩罚,
Deep Dive Duet,潜艇,
Star Trek：Elite Force 2,星际迷航：精英力量2,
IN SKY GIRLS,真空战姬,
Tabloid Tycoon,小报大亨,
Urban Chaos,混乱城市,
Espresso Tycoon,浓缩咖啡大亨,
Nightmare Zone,噩梦领域,
Think To Die,想作死,
Streets Of Kamurocho,神室町街头,
Crouching Pony Hidden Dragon,卧马藏龙,
Otaku's Adventure,宅男的人间冒险,
Combat Monsters,战斗怪兽,
Army of Two:The Devil's Cartel,战地双雄 恶魔联盟,
A Guidebook of Babel,巴别号漫游指南,
Otoko Yūkaku,游园迷梦,
Extreme Roads USA,极限之路：美国,
Bus Simulator 2008,模拟巴士2008,
,RPG时光！光之传说,RPGタイム！～ライトの伝説～
gui ya yi su,诡雅异俗,
Common'hood,共性,
Strike Buster Prototype,强袭人形：原体,
Grimoire : Heralds of the Winged Exemplar,格里莫瓦尔 羽翼先驱,
Antidote company:Salvation action,解药公司：救世行动,
Monopoly Madness,地产大亨：狂乐派对,
,第七龙神3 code:VFD,セブンスドラゴンIII code:VFD
Fastlane Carnage,逐路屠杀,
I pick up trash in the apocalypse,我在末日捡垃圾,
Starmancer,星际漫游者,
,数学力王 上级,
Crazy Taxi: Gazillionaire,疯狂出租车 亿万富翁,
First Strike: Final Hour,先发制人,
FlatOut: Ultimate Carnage,横冲直撞：终极杀戮,
Battlefleet Gothic: Armada,哥特舰队 阿玛达,
Concealed,潜入,
Greyhill Incident,灰山事件,
DynastyWarriors9,真三国无双8,
Sudoku Universe,数独 Universe,
MyMustache,我的胡子,
Millennium Secrets: Emerald Curse,千年之谜：翡翠的诅咒,
Team Fortress Classic,军团要塞经典版,
Rokumenhappi,六面∞臂,
CHRONO CROSS: THE RADICAL DREAMERS EDITION,时空之轮2：高清版,
Warhammer 40K Dawn of WAR Dark Crusade,战锤40K：战争黎明-黑暗十字军,
Tachyon: The Fringe,超光速粒子：边缘,
Keepsake,纪念品,
,我们的块魂,僕の私の塊魂
Shoppe Keep,冒险者商店,
7 Wonders of the Ancient World,七大奇迹,
Trine 2,三位一体2,
Pilot Down: Behind Enemy Lines,敌后阵线,
Rainbow Six: Rogue Spear,彩虹六号：雷霆战警,
Thimbleweed Park,银莲花公园,
Water Margin Drunken iron fist,水浒传之醉铁拳,
Corpse Party,尸体派对,コープスパーティー ブラッドカバーリピーティッドフィアー
"Warhammer 40,000: Eternal Crusade",战锤40K：永恒远征,
Perpetuum,合金机甲,
Road Redemption,公路救赎,
Dragon Zhanzhao,南侠展昭痞子龙,
NITE Team 4,NITE小组4,
Regions Of Ruin,废墟国度,
Big Scale Racing,超级遥控名车赛,
Alto's Odyssey,阿尔托的奥德赛,
Atrio: The Dark Wild,阿特里奥：黑暗的荒野,
ACE COMBAT X2 JOINT ASSAULT,皇牌空战X2 联合突击,
,幽灵诡计,ゴーストトリック
,精灵宝可梦 Let's Go 皮卡丘/伊布,ポケットモンスター Let's GO！ ピカチュウ／Let's GO！ イーブイ
Soundboxing,声音拳击,
DUNGEON ENCOUNTERS,地下城邂逅,
Saving Grace,救命之恩,
YIIK: A Postmodern RPG,YIIK：一款后现代RPG,
Master of Orion: Conquer the Stars,银河霸主：星际征服,
Airline Tycoon,航空大亨,
Tales of the Black Forest,黑森町绮谭,
,马里奥对大金刚 大家的迷你乐园,マリオvs.ドンキーコング みんなでミニランド
Arcade Spirits,街机精神,
Baseball Riot,棒球骚乱,
,世界树迷宫5：悠久神话的尽头,世界樹の迷宮V 長き神話の果て
Pool Nation,台球国度,
,妖精之尾 激斗！ 魔导士决战,TVアニメ フェアリーテイル 激闘! 魔導士決戦
Fallout 4 VR,辐射4VR,
Gai Shi Hao Xia,盖世豪侠,
,三国志13 with 威力加强版,三國志13 with パワーアップキット
Bad Dream: Coma,噩梦：昏迷,
Dragon Fin Soup,龙翅汤,
Sonic Origins PLUS,索尼克 起源 PLUS,
MANDAGON,螳螂,
,勇气默示录 飞翔妖精,ブレイブリーデフォルト Flying Fairy
Heroes from the Past: Joan of Arc,过去的英雄：圣女贞德,
Mordillo Jungle Fever XXL,丛林营救,
Wonderland Mahjong,仙境麻将,
Towerfall Ascension: Dark Worlds,热血暗器大乱斗：暗黑世界,
Black Mesa：Source,黑山：起源,
Final Exam,最终试炼,
House Flipper 2,房产达人2,
Legends of War: Patton,战争传奇 巴顿将军,
Target:Summit,目标：登顶,
I commissioned some invisible people 0,我委托了一些看不见的人0,
,三国志大战DS,
Sword Art Online: Last Recollection,刀剑神域：异绊集结,
Hotel Transylvania 3: Monsters Overboard,尖叫旅社3：怪兽假期,
Haunted Train：Spirits of Charon,闹鬼列车：灵魂的摆渡人,
The Outliners,火柴战争,
Forgotten Magic Tower,遗忘魔塔,
Deep Abyss,极深之渊,
Spikey Walls,钉墙,
Paladins,枪火游侠,
Cossacks 2: Napoleonic Wars,哥萨克2：拿破仑战争,
MU Legend,MU 传奇,
Weird Park: The Final Show,怪奇公园3：终场秀,
101 DinoPets 3D,宠物小恐龙,
Stratego,脑力挑战赛,
Face Noir,直面黑色星期五,
Pitiri 1977,皮特瑞1977,
Notmycar,绝地飞车,
Goat Simulator 3,模拟山羊3,
SmallHeroSurvive,小小英雄生存,
Summer memories,夏日的回忆,
Zettai Zetsumei Toshi 4 Plus: Summer Memories,绝体绝命都市4Plus：夏日回忆,
BattleField BattleFront,战场战线,
,AKB1/48 与偶像恋爱,AKB1/48 アイドルと恋したら…
Aquamarine,海蓝石,
Guilty Gear XX Accent Core Plus R,罪恶装备 XX Accent Core Plus R,
Serial Cleaner,连环清洁工,
Rainbow Six: Covert Ops Essentials,彩虹六号：隐秘行动,
Lamentum,哀歌,
Sakura Wars,樱花大战,サクラ大戦
The Legend of Doodle!,涂鸦传奇,
Empire of Angels IV,天使帝国4,
Holy Purge,神圣净化,
CONV/RGENCE: A League of Legends Story,聚点危机 英雄联盟外传,
The Alliance Alive HD Remastered,生存者同盟：重制版,
Braveland,勇士之地,
,世界树迷宫3 星海的来访者,世界樹の迷宮III 星海の来訪者
,龙背上的骑兵2 封印之红 背德之黑,ドラッグオンドラグーン2 封印の紅、背徳の黒
Tony Hawk's Proving Ground,托尼滑板 训练场,
Werewolf: The Apocalypse - Heart of the Forest,狼人之末日怒吼 森林之心,
Flesh Feast,人肉盛宴,
New Gundam Breaker,新高达破坏者,NEWガンダムブレイカー
The Mystery Of The Mary Celeste,神秘的玛丽西莱斯特号,
,塞尔达无双 海拉鲁全明星,ゼルダ無双 ハイラルオールスターズ
Unrailed!,一起开火车,
As Dusk Falls,日落黄昏时,
Ragdoll: Fall Simulator,布娃娃：模拟坠落,
PUPA,普帕高中,
Micy Roll,米茜大冒险,
Deadly Hunter VR,致命猎手VR,
SpellForce 3: Fallen God,咒语力量3 陨落神明,
,大家的节奏天国,みんなのリズム天国
Nancy Drew：The Phantom of Venice,南茜朱尔：威尼斯幽灵,
Wolfenstein: The Old Blood,德军总部：旧血脉,
Genso Suikoden,幻想水浒传,
Planet Alcatraz 2,地牢清洁工2,
Trainz Simulator 2009：World Builder Edition,模拟火车2009：世界构建版,
Ice Age：Dawn of the Dinosaurs,冰河世纪3：恐龙的黎明,
One Eyed Kutkh,独眼库特赫,
Phantasmagoria of Flower View,东方花映冢,
The Incredible Adventures of Van Helsing,范海辛的奇妙冒险,
Castle Strike,城堡战役,
Chaos;Child,混沌之子,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",纳尼亚传奇：狮子、女巫和魔衣橱,
Winter Sports 2012：Feel the Spirit,冬季运动会2012,
Roller Champions,冠军冲刺,
Unrest,动荡,
Moyupapa,摸鱼爬爬,
Ninja Issen,忍者一闪,
Dragon's Dogma Online,龙之信条Online,
For The Glory: A Europa Universalis Game,为荣誉而战,
Project Spark,火花计划,
Winged Sakura: Demon Civil War,飞舞的樱花：恶魔内战,
Mortal Kombat vs. DC Universe,真人快打 VS. DC漫画英雄,
Dawn Of Magic 2: Time of Shadows,魔法黎明2：阴影时间,
Hotel Life: A Resort Simulator,酒店生涯：模拟度假村,
12 Labours of Hercules VI: Race for Olympus,大力神的十二道考验6：角逐奥林匹斯,
Mario & Sonic at the Olympic Winter Games: Sochi 2014,马里奥与索尼克 2014索契冬奥会,
Far Cry：New Dawn,孤岛惊魂：新曙光,
Taiwan Mahjong 3,正宗台湾十六张麻将3,
Lethal League Blaze,致命联盟：烈焰,
Rise of the Third Power,第三势力的崛起,
Descension,星空坠落,
Wings Over Vietnam,越南铁翼,
SHINJUKU SOUMEI,新宿葬命,
This Is the Police,这是警察,
NHL Eastside Hockey Manager 2005,东部冰球经理2005,
Executive Assault,可执行突击,
Transport Fever,狂热运输,
Donkey Kong Country Returns 3D,大金刚国度:回归3D,
Cibele,希蓓蕾,
The Princess the Stray Cat and Matters of the Heart 2,野良与皇女与流浪猫之心2,
At Home Alone Final,独自在家,
King of the Road,公路之王,
EvilQuest,邪恶任务,
Zoo Park Story,探险顽皮动物园,
Aaru's Awakening,阿鲁的觉醒,
Talisman Digital Edition,圣符国度：数字版,
Guitar Hero：Aerosmith,吉他英雄：史密斯飞船,
Kingdom Traveler,王国旅行者,
Yu Long Zai Tian,御龙在天,
Sniper Elite 5,狙击精英5,
The Isle Tide Hotel,岛潮酒店,
Democracy 3,民主制度3,
Contract Killers,职业杀手,
Massive Assault,沉重打击,
Runaway：The Dream of the Turtle,逃亡2：海龟之梦,
GUILTY GEAR 2 -OVERTURE-,罪恶装备2：序曲,
I Shall Remain,末路求生,
Lost Constellation,失落的星座,
Power of Defense,防御能力,
Space Slice,空间切割,
among us,在我们之中,
Dead Effect 2,死亡效应2,
Untitled Goose Game,无题大鹅模拟,
Creeper World 4,爬行世界4,
Bionicle Heroes,乐高生化战士,
,少女战场,
Steam Prison,蒸汽监狱,
The Taiping Rebellion,太平天国：天下一统,
Guang Ming Chong Ying,光明重影,
Hitman: Blood Money,杀手：血钱,
,9-nine-春色春恋春熙风,9-nine-はるいろはるこいはるのかぜ
"That Dragon,Cancer",癌症似龙,
Evolution 2：Far Off Promise,神机世界2：遥远的约定,
Epistory - Typing Chronicles,纸境奇缘,
LEGO Pirates of the Caribbean: The Video Game,乐高加勒比海盗：亡灵宝藏,
Race Driver：GRID,超级房车赛：起点,
Medal of Honor: European Assault,荣誉勋章 欧洲强袭,
Alone In The Dark 5: Near Death Investigation,鬼屋魔影5：死亡界线,
Hand of the Gods,诸神之手,
Blacksmith of the Sand Kingdom,砂之国的宫廷锻冶屋,
Noel The Mortal Fate S1-7,被虐的诺艾尔,
Etrian Odyssey HD REMASTER,世界树迷宫 HD REMASTER,
Spring Breeze,春风,
Goodbye Deponia,再见德波尼亚,
Cold Case Summer: A Carol Reed Mystery,冷箱夏季：卡萝里德的秘密,
Dream Of Fairy Tale Morlb,大富翁：梦之童话大陆,
Island World,海岛世界,
NoLimits 2 Roller Coaster Simulation,无限制2：过山车模拟器,
LEGO Indiana Jones: The Original Adventures,乐高印第安纳琼斯：最初冒险,
Puzzle Pirates:Dark Seas,海盗时代：黑暗之海,
Fat Princess: A Piece of Cake,肥肥公主：蛋糕块,
Coffee Crisis,咖啡危机,
NeverAwake,永眠,
Infinity Strash: DRAGON QUEST The Adventure of Dai,无限神速斩 勇者斗恶龙 达伊的大冒险,
Gathering Our Childhoods,小拾逅,
ULTRAWORLD,终极世界,
Gemology,宝石学,
Battletoads,忍者蛙,
Dance Collider,舞蹈对撞机,
Bedtime:turn off the life,睡前请闭灯,
,CHASE 未解決事件捜査课 遥远的记忆,CHASE- 未解決事件捜査課 ～遠い記憶～
The Cloud Dream of the Nine,九云梦,
100 Worlds - Escape Room Game,100个世界：密室逃脱,
Timmy Bibble's Friendship Club,蒂米毕比的友谊俱乐部,
,苍蓝雷霆Gunvolt 2,蒼き雷霆 ガンヴォルト 爪
CrossfireX,穿越火线X,
Alice's Mom's Rescue,爱丽丝救母记,
Balls of Steel,卡通叛乱,
Dinner with an Owl,与猫头鹰共进晚餐,
Tale of Wuxia: Prequel,侠客风云传前传,
,最终幻想 零式,ファイナルファンタジー零式
Rush'N Attack Ex-Patriot,绿色兵团 前爱国者,
9 Years of Shadows,九年阴影,
Anchors Blockade Zone:Prologue,锚点：封锁区 序章,
,御姐武戏Z 神乐 with NoNoNo,お姊チャンバラZ ～カグラ～ With NoNoNo!
Astray,误入歧途,
,爱相随 EVERY,ラブプラス EVERY
Dungeons & Dragons: Dark Alliance,龙与地下城：黑暗联盟,
River City Sanguo,热血三国志：全员集合！,
Lempo,恶神,
Super Catboy,超级猫猫哥,
Unknown Ways,未知之路,
Pesadelo: Regressao,噩梦回归,
Top Gun：Combat Zones,壮志凌云：战区,
36 Fragments of Midnight,午夜的36个碎片,
The Pedestrian,行人,
Jenny LeClue - Detectivu,珍妮的线索 - 小侦探,
,干物妹！小埋 干物妹育成计划,干物妹！うまるちゃん 干物妹育成計画
BARRIER X,障碍X,
Jump Force,Jump力量,
,擦肩交换日记,いつの間に交換日記
Magical Otoge Iris,梦幻乙女游：伊里斯,
Elium: Prison Escape,氦：越狱,
,烧屋,
Beam Breakers,极速传说,
Sumioni: Demon Arts,墨鬼,
Aerofly FS 2 Flight Simulator,模拟航空飞行2,
Halo Infinite,光环 无限,
,加雷特编年史 红辉的魔石,ガーネット クロニクル～紅輝の魔石～
,日本职业麻将联盟推荐 彻底麻将！挑战女职业选手！彻万女神 特别版,日本プロ麻雀連盟推薦 とことん麻雀! 女流プロに挑戦! 徹萬女神 スペシャル
Looking for Aliens,寻找外星人,
Super Comboman,超级连击男,
Yrminsul,伊米苏,
Journey of Greed,冒险公社,
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,海绵宝宝：比奇堡的冒险,
Ghostbusters: Spirits Unleashed,捉鬼敢死队：灵魂释放,
Jeopardy!,危险边缘,
Drake Hollow,空穴山谷,
Hellgate：London,暗黑之门：伦敦,
Race with Ryan,与Ryan一起赛车,
,一拳超人 无名英雄,ワンパンマン ヒーローノーバディノウズ
Lihue,利休,
4089: ghost within,4089：幽灵附身,
Cruise Ship Manager,游轮经理,
Mystery Of Camp Enigma,营地之谜,
Alien Zombie Megadeath,星际丧尸,
Technobabylon,科技巴比伦,
Hangsim,空中滑翔模拟飞行,
The Battle of Sol,索尔之战,
Gladiator: about to die,角斗士：即死之刻,
Odysseus Kosmos and his Robot Quest: Adventure Game,奥德修斯和他的探索机器人,
Castle Conqueror EX,城堡征服者EX,
DynastyWarriors6,真三国无双5,
Cooking Academy 2: World Cuisine,烹饪学院2：世界美食,
Stuart Little 2,精灵鼠小弟2,
Shaolin Mystery 2 Revenge of Terracotta Warriors,神秘少林寺2：兵马俑的复仇,
Ninja Blade,忍者之刃,ニンジャブレイド
House Password,密码屋,
Mega Man Legacy Collection,洛克人 遗产合集,
Robin Hood: Defender of the Crown,侠盗罗宾汉：王冠守护者,
SAN GIORLI,三竹里,
Scooby-Doo 2: Monsters Unleashed,史酷比2：释放的怪兽,
,"现在就想告诉哥哥,我是妹妹!",いますぐおにいちゃんにいもうとだっていいたい!
Forest Ranger Simulator,森林护林员模拟器,
Assassin's Creed Odyssey,刺客信条 奥德赛,
X4: Foundations,X4：基奠,
The End of an Age: Fading Remnants,时代终结：赶尽杀绝,
The Legend of Legacy,遗产传奇,
Labrys,米诺陶：迷宫,
Phantom Abyss,幻影深渊,
Hassle Heart,烦碎的心,
Peak action,尖峰行动,
,热血乱斗进行曲 胜利格斗SP,ダウンタウン乱闘行進曲 かちぬきかくとうSP
The Walking Dead,行尸走肉,
Defense Grid: The Awakening,防御阵型：觉醒,
Daymare: 1998,昼魇：1998,
Tales of Escape,逃亡故事,
CosmoDrive:Infinity,宇宙驱动器：无限,
One More Island,再占一岛,
Elegant Impermanence of Sakura,东方祈华梦,
Super Trench Attack,超级战壕大战,
Naked and Afraid: The Game,赤裸与恐惧,
The Strike,食饵,
Marionette Company Chu,人偶情缘,
Baseball Mogul 2011,棒球巨星2011,
Mainlining,静脉注射,
Sleeping Dogs,热血无赖,
WEREWOLF UNTAMED,狼人对决,
DogFighter,空中格斗机,
Dragon Ball Z: Kakarot,龙珠Z 卡卡罗特,
Bit Blaster XL,位霸XL,
Dark Blood,暗影之剑,
Splinter Cell 4: Double Agent,细胞分裂4：双重间谍,
TinkerQuarry,修补采石场,
Citadel:Forged With Fire,堡垒：火焰之炼,
,奥特曼怪兽农场,ウルトラ怪獣モンスターファーム
Tiger Woods PGA Tour 08,泰格伍兹高尔夫球巡回赛08,
Amnesia: The Bunker,失忆症：地堡,
,御姐玫瑰 起源,お姉チャンバラORIGIN
Witch It,女巫来了,
Dream Pinball 3D,3D梦幻弹球,
Gundam: The 3D Battle,高达：3D战斗,
Ninjin: Clash of Carrots,忍者：胡萝卜冲突,
Project Grove,树林计划,
Ghost and God,鬼神之门,
Ocean City Racing,大洋城赛车,
Wargame: Airland Battle,战争游戏：空地一体战,
Starship Troopers - Terran Command,星河战队：人类指挥部,
There Will Be No Turkey This Christmas,今年圣诞没有火鸡,
Wolf Simulator,化身为狼,
Tao Tian,滔天,
Worms: Armageddon,百战天虫：末日浩劫,
PacMan World 3,吃豆人的世界3,
Arcturus,星尘物语,
Xun Long Ji Online,寻龙记,
Deep Down,深渊,
Pine Hearts,松树之心,
Skatpalast: Premium Edition,宾果扑克牌：高级版,
Azure Striker Gunvolt 3,苍蓝雷霆Gunvolt 3 锁环,
Project-W,代号W,
